# Athena++ data at time=2.500000e-01  cycle=350  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0192 -1.27930e-01  6.09115e-01  4.99549e-01  5.58443e-01  0.00000e+00  0.00000e+00
0193 -1.25977e-01  6.05424e-01  4.95317e-01  5.64952e-01  0.00000e+00  0.00000e+00
0194 -1.24023e-01  6.01752e-01  4.91115e-01  5.71460e-01  0.00000e+00  0.00000e+00
0195 -1.22070e-01  5.98097e-01  4.86944e-01  5.77968e-01  0.00000e+00  0.00000e+00
0196 -1.20117e-01  5.94461e-01  4.82805e-01  5.84475e-01  0.00000e+00  0.00000e+00
0197 -1.18164e-01  5.90842e-01  4.78695e-01  5.90982e-01  0.00000e+00  0.00000e+00
0198 -1.16211e-01  5.87242e-01  4.74616e-01  5.97488e-01  0.00000e+00  0.00000e+00
0199 -1.14258e-01  5.83659e-01  4.70568e-01  6.03993e-01  0.00000e+00  0.00000e+00
0200 -1.12305e-01  5.80095e-01  4.66549e-01  6.10497e-01  0.00000e+00  0.00000e+00
0201 -1.10352e-01  5.76548e-01  4.62561e-01  6.17001e-01  0.00000e+00  0.00000e+00
0202 -1.08398e-01  5.73019e-01  4.58602e-01  6.23504e-01  0.00000e+00  0.00000e+00
0203 -1.06445e-01  5.69508e-01  4.54672e-01  6.30006e-01  0.00000e+00  0.00000e+00
0204 -1.04492e-01  5.66014e-01  4.50772e-01  6.36508e-01  0.00000e+00  0.00000e+00
0205 -1.02539e-01  5.62538e-01  4.46902e-01  6.43008e-01  0.00000e+00  0.00000e+00
0206 -1.00586e-01  5.59080e-01  4.43060e-01  6.49508e-01  0.00000e+00  0.00000e+00
0207 -9.86328e-02  5.55639e-01  4.39247e-01  6.56006e-01  0.00000e+00  0.00000e+00
0208 -9.66797e-02  5.52216e-01  4.35463e-01  6.62504e-01  0.00000e+00  0.00000e+00
0209 -9.47266e-02  5.48810e-01  4.31707e-01  6.69001e-01  0.00000e+00  0.00000e+00
0210 -9.27734e-02  5.45422e-01  4.27980e-01  6.75496e-01  0.00000e+00  0.00000e+00
0211 -9.08203e-02  5.42050e-01  4.24281e-01  6.81991e-01  0.00000e+00  0.00000e+00
0212 -8.88672e-02  5.38696e-01  4.20611e-01  6.88484e-01  0.00000e+00  0.00000e+00
0213 -8.69141e-02  5.35360e-01  4.16968e-01  6.94976e-01  0.00000e+00  0.00000e+00
0214 -8.49609e-02  5.32040e-01  4.13353e-01  7.01467e-01  0.00000e+00  0.00000e+00
0215 -8.30078e-02  5.28738e-01  4.09765e-01  7.07957e-01  0.00000e+00  0.00000e+00
0216 -8.10547e-02  5.25453e-01  4.06205e-01  7.14445e-01  0.00000e+00  0.00000e+00
0217 -7.91016e-02  5.22185e-01  4.02673e-01  7.20931e-01  0.00000e+00  0.00000e+00
0218 -7.71484e-02  5.18934e-01  3.99168e-01  7.27416e-01  0.00000e+00  0.00000e+00
0219 -7.51953e-02  5.15700e-01  3.95689e-01  7.33900e-01  0.00000e+00  0.00000e+00
0220 -7.32422e-02  5.12483e-01  3.92238e-01  7.40381e-01  0.00000e+00  0.00000e+00
0221 -7.12891e-02  5.09283e-01  3.88813e-01  7.46861e-01  0.00000e+00  0.00000e+00
0222 -6.93359e-02  5.06100e-01  3.85416e-01  7.53338e-01  0.00000e+00  0.00000e+00
0223 -6.73828e-02  5.02934e-01  3.82045e-01  7.59814e-01  0.00000e+00  0.00000e+00
0224 -6.54297e-02  4.99785e-01  3.78700e-01  7.66287e-01  0.00000e+00  0.00000e+00
0225 -6.34766e-02  4.96654e-01  3.75382e-01  7.72757e-01  0.00000e+00  0.00000e+00
0226 -6.15234e-02  4.93539e-01  3.72090e-01  7.79225e-01  0.00000e+00  0.00000e+00
0227 -5.95703e-02  4.90441e-01  3.68824e-01  7.85690e-01  0.00000e+00  0.00000e+00
0228 -5.76172e-02  4.87360e-01  3.65585e-01  7.92151e-01  0.00000e+00  0.00000e+00
0229 -5.56641e-02  4.84297e-01  3.62372e-01  7.98609e-01  0.00000e+00  0.00000e+00
0230 -5.37109e-02  4.81251e-01  3.59185e-01  8.05063e-01  0.00000e+00  0.00000e+00
0231 -5.17578e-02  4.78222e-01  3.56024e-01  8.11513e-01  0.00000e+00  0.00000e+00
0232 -4.98047e-02  4.75211e-01  3.52890e-01  8.17957e-01  0.00000e+00  0.00000e+00
0233 -4.78516e-02  4.72218e-01  3.49782e-01  8.24396e-01  0.00000e+00  0.00000e+00
0234 -4.58984e-02  4.69242e-01  3.46700e-01  8.30829e-01  0.00000e+00  0.00000e+00
0235 -4.39453e-02  4.66285e-01  3.43645e-01  8.37255e-01  0.00000e+00  0.00000e+00
0236 -4.19922e-02  4.63346e-01  3.40616e-01  8.43673e-01  0.00000e+00  0.00000e+00
0237 -4.00391e-02  4.60427e-01  3.37615e-01  8.50082e-01  0.00000e+00  0.00000e+00
0238 -3.80859e-02  4.57527e-01  3.34642e-01  8.56479e-01  0.00000e+00  0.00000e+00
0239 -3.61328e-02  4.54648e-01  3.31698e-01  8.62864e-01  0.00000e+00  0.00000e+00
0240 -3.41797e-02  4.51790e-01  3.28783e-01  8.69231e-01  0.00000e+00  0.00000e+00
0241 -3.22266e-02  4.48957e-01  3.25900e-01  8.75578e-01  0.00000e+00  0.00000e+00
0242 -3.02734e-02  4.46150e-01  3.23051e-01  8.81897e-01  0.00000e+00  0.00000e+00
0243 -2.83203e-02  4.43374e-01  3.20240e-01  8.88176e-01  0.00000e+00  0.00000e+00
0244 -2.63672e-02  4.40638e-01  3.17477e-01  8.94397e-01  0.00000e+00  0.00000e+00
0245 -2.44141e-02  4.37957e-01  3.14776e-01  9.00523e-01  0.00000e+00  0.00000e+00
0246 -2.24609e-02  4.35358e-01  3.12164e-01  9.06488e-01  0.00000e+00  0.00000e+00
0247 -2.05078e-02  4.32893e-01  3.09692e-01  9.12175e-01  0.00000e+00  0.00000e+00
0248 -1.85547e-02  4.30646e-01  3.07444e-01  9.17379e-01  0.00000e+00  0.00000e+00
0249 -1.66016e-02  4.28742e-01  3.05542e-01  9.21808e-01  0.00000e+00  0.00000e+00
